sample_idx,num_tokens_generated,num_tokens_scored,num_green_tokens,watermarking_fraction,green_fraction,z_score,p_value,detected
95,65,11,11,0.16923076923076924,1.0,3.3166247903554,0.0004555594385768564,0
96,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
97,111,17,17,0.15315315315315314,1.0,4.123105625617661,1.868990920085077e-05,1
98,41,5,5,0.12195121951219512,1.0,2.23606797749979,0.012673659338734126,0
99,25,9,8,0.36,0.8888888888888888,2.3333333333333335,0.009815328628645334,0
100,47,10,10,0.2127659574468085,1.0,3.162277660168379,0.000782701129001274,0
101,35,10,10,0.2857142857142857,1.0,3.162277660168379,0.000782701129001274,0
102,65,12,11,0.18461538461538463,0.9166666666666666,2.886751345948129,0.001946208561389314,0
103,365,24,24,0.06575342465753424,1.0,4.898979485566357,4.816785043215445e-07,1
104,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
105,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
106,73,5,5,0.0684931506849315,1.0,2.23606797749979,0.012673659338734126,0
107,78,8,8,0.10256410256410256,1.0,2.82842712474619,0.002338867490523633,0
108,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
109,217,41,41,0.1889400921658986,1.0,6.4031242374328485,7.611460981281523e-11,1
110,99,12,12,0.12121212121212122,1.0,3.464101615137755,0.0002660027525696246,0
111,95,18,18,0.18947368421052632,1.0,4.242640687119286,1.104524849929268e-05,1
112,53,14,14,0.2641509433962264,1.0,3.7416573867739413,9.14053164909174e-05,0
113,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
114,77,11,11,0.14285714285714285,1.0,3.3166247903554,0.0004555594385768564,0
115,102,25,25,0.24509803921568626,1.0,5.0,2.866515718791933e-07,1
116,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
117,75,9,9,0.12,1.0,3.0,0.0013498980316300933,0
118,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
119,88,10,10,0.11363636363636363,1.0,3.162277660168379,0.000782701129001274,0
120,297,36,36,0.12121212121212122,1.0,6.0,9.865876450376946e-10,1
121,102,31,31,0.30392156862745096,1.0,5.567764362830022,1.2901421520802082e-08,1
122,380,59,58,0.15526315789473685,0.9830508474576272,7.4207679259069605,5.822159800677751e-14,1
123,41,7,7,0.17073170731707318,1.0,2.6457513110645903,0.00407548579675135,0
124,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
125,374,54,54,0.1443850267379679,1.0,7.348469228349534,1.0024480401401515e-13,1
126,32,3,3,0.09375,1.0,1.7320508075688774,0.0416322583317752,0
127,59,10,10,0.1694915254237288,1.0,3.162277660168379,0.000782701129001274,0
128,3,1,1,0.3333333333333333,1.0,1.0,0.15865525393145707,0
129,117,54,54,0.46153846153846156,1.0,7.348469228349534,1.0024480401401515e-13,1
130,123,11,11,0.08943089430894309,1.0,3.3166247903554,0.0004555594385768564,0
131,37,5,5,0.13513513513513514,1.0,2.23606797749979,0.012673659338734126,0
132,101,15,15,0.1485148514851485,1.0,3.8729833462074166,5.3755588364750274e-05,0
133,33,8,8,0.24242424242424243,1.0,2.82842712474619,0.002338867490523633,0
134,355,20,20,0.056338028169014086,1.0,4.47213595499958,3.872108215522035e-06,1
135,51,6,6,0.11764705882352941,1.0,2.4494897427831783,0.007152939217714809,0
136,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
137,42,8,8,0.19047619047619047,1.0,2.82842712474619,0.002338867490523633,0
138,98,8,6,0.08163265306122448,0.75,1.414213562373095,0.07864960352514258,0
139,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
140,27,7,7,0.25925925925925924,1.0,2.6457513110645903,0.00407548579675135,0
141,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
142,86,11,11,0.12790697674418605,1.0,3.3166247903554,0.0004555594385768564,0
143,60,8,8,0.13333333333333333,1.0,2.82842712474619,0.002338867490523633,0
144,363,47,46,0.12947658402203857,0.9787234042553191,6.563924617405255,2.6204852075980953e-11,1
145,60,11,11,0.18333333333333332,1.0,3.3166247903554,0.0004555594385768564,0
146,232,31,31,0.1336206896551724,1.0,5.567764362830022,1.2901421520802082e-08,1
147,102,9,8,0.08823529411764706,0.8888888888888888,2.3333333333333335,0.009815328628645334,0
148,81,10,9,0.12345679012345678,0.9,2.5298221281347035,0.005706018193000826,0
149,55,6,6,0.10909090909090909,1.0,2.4494897427831783,0.007152939217714809,0
150,26,4,3,0.15384615384615385,0.75,1.0,0.15865525393145707,0
151,49,9,9,0.1836734693877551,1.0,3.0,0.0013498980316300933,0
